ticker,marketcap,token_address,graduated_time
Moochi,16009221.790558834,CADozX8qgsjyoHBxWYMLHXbKgeRfmKkmDLcRAB4mpump,2024-12-26 20:43:24.000 UTC
EDU,15578569.247388797,FrawzFeUoUGFiWqawyYu2Zdgm4rNfz7JirdrJt6Dpump,2024-12-26 22:22:50.000 UTC
<nil>,15474374.195918366,4rouHKQtT1i1wMJW5PaJ4hBozxi19BzvF1eSfUiPpump,2024-12-27 23:59:58.000 UTC
Guitar,15141681.24280252,B9ptjh1cXKPF3bEWBaMEf2njh8oe7hDifiBjWBnWpump,2024-12-27 01:38:52.000 UTC
Ginger,15084849.049552796,igxsVayL5Z1SSRusSSGf3BZdgy1aaX8XhJhvs59pump,2024-12-26 21:58:49.000 UTC
CHUANG,15055014.46234185,76yRoCQJBVWwqifNmUjGCgw9pG7nCEuAHAedf2gkpump,2024-12-26 22:36:54.000 UTC
DREAM,15003376.960499913,8hrZax9eVqdLB1duN2fJ3ji4FwbddPsb96uauEMroBm8,2024-12-27 06:25:48.000 UTC
BETH,14969980.256926244,7uJrMsDN2Wxdc3VAq1iK9N5AHaTA7wUpbm1wqRonpump,2024-12-20 19:35:21.000 UTC
QOAT,14897455.324477091,7F9bK2Gj7X5YY3dYfojoWVQYerFYcaGCni6Czt8Xpump,2024-12-26 20:04:32.000 UTC
Fwaig,14563302.859036911,5Ufor2QVqMmtWNof8YvL7jg4FMUB4zQYwS3Rgo8Fpump,2024-12-27 02:05:00.000 UTC
TrenchAI,14468518.214631882,AaWVpk6eZbgBfVbq1UfXw3EXBmAvw4QXov1xHuG7pump,2024-12-22 17:04:23.000 UTC
FC,14354210.190573558,GzL55aUGMWkJ4FvF8Sei1ysU9LKUd9d87da7ZFsMpump,2024-12-27 01:47:22.000 UTC
BCT,14175322.8767016,8SFpQ1kRbfjbmpnhKzzgd6GA9PZwhiAMQywZh75Dpump,2024-12-19 01:52:55.000 UTC
JUSTAPE,14117560.915837068,BbXxE2fdojSsUAtw7JXJ4qBGxwHk3Avbp813TntTpump,2024-12-27 01:54:27.000 UTC
BEN,14040905.50077804,HDCRVQJ2cEJojXJwcHQJqqqpcLdK31efUNMHc5MMpump,2024-12-26 15:51:13.000 UTC
Lux,13164563.152115444,HMJTSNVu1eHkxiSrLnpowciEaTy1pfuRyEcumJBjpump,2024-12-26 15:22:58.000 UTC
daige,13143631.64391934,HsNx7RirehVMy54xnFtcgCBPDMrwNnJKykageqdWpump,2024-12-18 18:17:36.000 UTC
DALMATIAN,12620491.384173024,3CSeAGiw5TYeuZfB74adUM1M9if1fEDXzr5PrnuNpump,2024-12-26 08:09:11.000 UTC
$qtum,12420738.382454822,HDBnacTNJW2nKdNWSb17KhExjBwvTd6kATArhLUapump,2024-12-26 20:46:47.000 UTC
OK2,11387379.859817907,8c6NFaQbdARH7iZ8wzH4Zd4Ug53MjS2brUXxyeqqpump,2024-12-26 21:54:53.000 UTC
KERMIT,11346204.93266424,7ddXH2WAydRpG4VdKpMkpdjPRUZjhoJ4YZ5aAUV3pump,2024-12-27 19:13:13.000 UTC
Skely,11310322.725583958,GQB9j8P9hREr7oGDSy2UWgq48QUgZwsHFoMcBF7upump,2024-12-24 01:10:50.000 UTC
AIT,10279656.792890046,D4G7rpcQBF5oVQwBzoDwHPiweJ5RYvuEVGdxqmPApump,2024-12-20 19:13:21.000 UTC
MSI,9816999.419167014,E3SPN9aQjT6yeCsQou5wKb5iaG68CbUE8ZnBaFBpump,2024-12-18 12:39:47.000 UTC
Zoog,9710498.360192183,EBzVoCbpFsBU1iKm9GL1k7LcKbNNrVUYk66qXZBTpump,2024-12-27 18:28:38.000 UTC
SVMAI,9669072.783769129,Cpzvdx6pppc9TNArsGsqgShCsKC9NCCjA2gtzHvUpump,2024-12-26 10:52:39.000 UTC
달마안,9620911.592025014,8szZVFYje4CWV8PRiXgSdStYwWGhXzwEicLhqcXXpump,2024-12-26 08:29:33.000 UTC
BEYOND,9337998.16976435,AwGtcVRSsSajtx5vyyFvH7UyZPzew7JsbDauSNVnpump,2024-12-27 19:46:05.000 UTC
EJ,9334680.673225,8MWgtfXDvir1rRarS5k9gS3jojQUEJ1SYFGadUcpump,2024-12-24 05:19:15.000 UTC
GIGA🧠,9221037.89970548,GHpAbHZ8MCAXWLdKzxM1ZGhP2U4u1ni5vUcoRSghpump,2024-12-21 14:56:58.000 UTC
alpha,9212058.592181198,Cg93SZJkHePybZqGDuyXLf5Ag5sB2cpWfHUG8wNPpump,2024-12-22 15:57:59.000 UTC
Aura,9173157.892238537,8W3UV8CwwLjjcrUsykFnunSJkVKnUQQ4kHDurPBypump,2024-12-27 09:36:21.000 UTC
ALIEN,9046589.734162971,BJ19Mjzyaw9RmzhK2AKifohrz8DMhDgtEkUKHDGqpump,2024-12-23 20:49:47.000 UTC
GRPH,9002748.411562406,9doRRAik5gvhbEwjbZDbZR6GxXSAfdoomyJR57xKpump,2024-12-20 05:43:31.000 UTC
Beanos,8917161.893704668,4UE3Gdwr4RGdJLdhSbyN5oxH5EGx2fArvTHq4oJqpump,2024-12-27 00:31:54.000 UTC
POLO,8727709.930189218,ExGYo7F2mFpcMhCCMNhrMNUJifeKCXppewq7nUnapump,2024-12-27 19:35:42.000 UTC
SOLUP,8694502.292880764,8CF8vU3iD8MjpGK64mETc3FnLzWJdVRG5kjTyz3bpump,2024-12-22 10:26:54.000 UTC
BAT,8638382.057369225,D8D5EHoepMxgG2hZKH3HGErfuEtZk56XyJZByZbmHp8Z,2024-12-19 17:24:37.000 UTC
flork,8567820.780665128,CnGb7hJsGdsFyQP2uXNWrUgT5K1tovBA3mNnUZcTpump,2024-12-22 20:00:57.000 UTC
PLUTUS,8489140.91045212,Q38MSJhCeAMTtfbuLP8ZKC4s34o5chB8zyXNyErpump,2024-12-26 21:07:23.000 UTC
